table_path,column_name,column_id,column_type,row_id,gt_val
csvData21180610__0.csv,#,0,num,15,60
csvData6605406__3.csv,3P%,1,num,15,0.222
csvData10819469.csv,UK,3,num,9,20
csvData8804961__2.csv,Team,3,cate,15,FLA
csvData28386553__1.csv,H,0,num,30,23
csvData1068737__2.csv,FTM,7,num,19,1.1
csvData11618254.csv,DE,6,num,9,46
csvData5586261__3.csv,PA,6,num,6,1
csvData29230622__3.csv,PA,5,num,44,83
csvData9103974__6.csv,oppSLG,3,num,78,0.418
csvData23138641__17.csv,Team,6,cate,199,Anaheim
csvData5124506__7.csv,CS,3,num,10,1
csvData5124506__7.csv,SLG,0,num,12,0.527
csvData24108736__5.csv,SLG,0,num,2,0.208
csvData28681743__3.csv,FTA,2,num,21,4.0
csvData14512292__0.csv,OPS,5,num,8,0.649
csvData10074535__12.csv,OPS,2,num,48,1.006
csvData24442720__5.csv,Reb,2,num,5,6.1
csvData18784108__2.csv,BB,1,num,15,14
csvData16461238__3.csv,h,3,num,8,9
csvData1902536__12.csv,OBP,7,num,74,0.414
csvData3178438__15.csv,RPG,2,num,97,30.9
csvData2792289__3.csv,STL%,1,num,2,0.0
csvData28386553__1.csv,2B,5,num,16,17
csvData14690251__3.csv,POS,3,cate,29,3B
csvData11128235.csv,Wm US,1,num,0,0
csvData14690251__3.csv,GIDP,0,num,23,0
csvData29230622__0.csv,G,6,num,350,22
csvData1902536__12.csv,SH,6,num,37,0
csvData158232__2.csv,s,2,num,25,117
csvData24341501__0.csv,YEAR,1,num,142,2012
csvData18493125__12.csv,CS,5,num,34,1
csvData23003743__0.csv,AB,5,num,10,390
csvData26649044__3.csv,Rpos,6,num,14,1
csvData3726343__7.csv,AVG,8,num,41,0.255
csvData10074535__12.csv,BB,5,num,53,0
csvData19387543__3.csv,e,7,num,4,1
csvData11105179.csv,IT,2,num,3,40
csvData11859275__0.csv,ibb,6,num,3,0
csvData29230622__0.csv,G,6,num,84,29
csvData27008272__5.csv,FT%,7,num,16,0.633
csvData11573229__2.csv,Acquired,0,cate,2,Free Agency
csvData11839331__7.csv,3PM,1,num,16,1.7
csvData1902536__12.csv,OBP,7,num,10,0.313
csvData18784108__2.csv,Player,9,cate,22,Y Martinez
csvData7222492__5.csv,FGA,0,num,33,51.8
csvData28672318__4.csv,2B,7,num,45,0
csvData29230622__3.csv,YEAR,4,num,115,2012
csvData26724876__3.csv,FTM,5,num,47,1.1
csvData29230622__0.csv,G,6,num,321,29
csvData14512292__0.csv,SH,0,num,1,0
csvData11839331__7.csv,AST,0,num,14,2.8
csvData29230622__0.csv,VORP,1,num,32,-1.6
csvData26649044__3.csv,PA,7,num,19,2
csvData7222492__5.csv,FTA,3,num,27,19.6
csvData4823585__2.csv,CS,7,num,5,0
csvData24131822__7.csv,GS,5,num,71,23
csvData20099586__3.csv,SH,3,num,10,1
csvData24341501__0.csv,TEAM,2,cate,84,BAL
csvData10074535__0.csv,AB,2,num,25,481
csvData11839331__4.csv,TOV,3,num,57,1.2
csvData23003743__3.csv,Team,2,cate,12,SF
csvData29230622__0.csv,PA,5,num,206,411
csvData1211158__2.csv,bb,0,num,2,8
csvData23138641__17.csv,Team,6,cate,229,Colorado
csvData17658548__0.csv,sb,1,num,29,1
csvData29230622__0.csv,oppSLG,0,num,27,0.419
csvData23138641__17.csv,Team,6,cate,177,San Jose
csvData24341501__0.csv,SLG,6,num,318,0.434
csvData14585065__2.csv,3PA,7,num,3,1.2
csvData17658548__0.csv,3b,6,num,21,0
csvData6468042__0.csv,GP,0,num,7,82
csvData21180610__2.csv,PTS,3,num,10,213
csvData2688573__0.csv,2b,5,num,10,1
csvData13434912__7.csv,AB,2,num,97,121
csvData9103974__6.csv,AGE,8,num,4,24
csvData29230622__0.csv,G,6,num,127,65
csvData24131822__7.csv,oppTAv,4,num,52,0.253
csvData20099586__3.csv,R,7,num,20,11
csvData21300577__1.csv,OBP,4,num,34,0.32
csvData24341501__0.csv,oppOPS,0,num,344,0.706
csvData6605406__1.csv,FGA,5,num,2,6.7
csvData10407982.csv,FR,4,num,3,38
csvData22709338__0.csv,h,7,num,18,10
csvData28672318__5.csv,RBI,8,num,1,1
csvData29230622__3.csv,TEAM,3,cate,100,NYN
csvData16825359__0.csv,Arch-Thru,5,num,7,8
csvData10074535__12.csv,AVG,7,num,24,0.277
csvData29230622__0.csv,TEAM,3,cate,116,PHI
csvData5124506__7.csv,G,1,num,31,7
csvData29230622__0.csv,YEAR,4,num,45,2012
csvData26724876__3.csv,RPG,1,num,41,1.7
csvData29230622__3.csv,PA,5,num,146,20
csvData24341501__0.csv,oppOBP,8,num,227,0.315
csvData18493125__12.csv,CS,5,num,46,4
csvData22709338__0.csv,po,1,num,16,18
csvData18784108__2.csv,Player,9,cate,13,J Altuve
csvData5124506__7.csv,Team,2,cate,60,TB
csvData24341501__0.csv,LG,3,cate,186,AL
csvData26724876__2.csv,DRB,0,num,12,1.8
csvData20099586__3.csv,H,6,num,29,177
csvData9103974__6.csv,VORP,9,num,46,16.2
csvData23138641__17.csv,Team,6,cate,245,Winnipeg
csvData3653270__1.csv,pct,0,num,16,0.038
csvData26724876__3.csv,Team,0,cate,21,SEV
csvData21877600__3.csv,Rk,8,num,2,2
csvData8804961__2.csv,R,4,num,13,15
csvData27526946__4.csv,2B,1,num,28,0
csvData6605406__1.csv,DRB,7,num,14,2.2
csvData24131822__7.csv,oppOBP,3,num,41,0.306
csvData8288967__15.csv,Tm,1,cate,163,NYY
csvData10407982.csv,UK,3,num,5,12
csvData13434912__7.csv,RBI,3,num,68,0
csvData21180610__7.csv,3PM,4,num,4,23
csvData14443150__6.csv,3PM,2,num,6,1.5
csvData11219221.csv,IT,0,num,6,46
csvData10881686.csv,Date,0,cate,0,Sep 5
csvData26724876__3.csv,TOV,3,num,16,1.6
csvData6605406__3.csv,FTA,4,num,19,2.5
csvData22678292__1.csv,STL%,5,num,14,17.3
csvData24341501__0.csv,SLG,6,num,266,0.403
csvData7222492__5.csv,FGM,7,num,14,23.1
csvData22335715__0.csv,avg,6,num,14,0.297
csvData24341501__0.csv,YEAR,1,num,100,2012
csvData3178438__15.csv,RPG,2,num,87,34.3
csvData11170774.csv,JP,5,num,3,9
csvData21947308__0.csv,RBI,0,num,0,5
csvData1902536__12.csv,G,2,num,77,2
csvData8804961__2.csv,3B,5,num,29,0
csvData23003743__3.csv,3B,4,num,24,0
csvData6444295__7.csv,ORB,0,num,4,0.8
csvData22678292__1.csv,GS,2,num,4,0
csvData28672318__5.csv,AB,6,num,31,5
csvData16773977__3.csv,FTM,8,num,18,2.3
csvData9103974__6.csv,oppSLG,3,num,12,0.407
csvData16773977__3.csv,MPG,0,num,13,19.4
csvData28681743__3.csv,#,6,num,32,70
csvData21180610__7.csv,3P%,1,num,23,0.25
csvData13434912__7.csv,RBI,3,num,43,9
csvData6974424__2.csv,wp,0,num,26,1
csvData18493125__12.csv,2B,7,num,38,15
csvData1048267.csv,CN (cm),7,num,8,102
csvData18784108__2.csv,G,4,num,28,30
csvData24341501__0.csv,YEAR,1,num,132,2012
csvData10074535__12.csv,BB,5,num,10,25
csvData2688573__0.csv,Date,2,cate,21,"Mar 02, 2011"
csvData10911563.csv,UK,3,num,8,18
csvData21877600__3.csv,GmSc,6,num,11,6.8
csvData1902536__12.csv,OBP,7,num,123,0.3
csvData18661263__9.csv,AB,3,num,70,111
csvData13434912__7.csv,OPS,5,num,24,0.772
csvData11859275__0.csv,Date,2,cate,23,"Apr 18, 2009"
csvData14690251__2.csv,GIDP,0,num,16,0
csvData24341501__0.csv,SLG,6,num,313,0.392
csvData14585065__2.csv,BPG,0,num,23,0.2
csvData28386553__1.csv,Player,2,cate,1,D Giovanatto
csvData15391018__1.csv,Box Beam or Girders (Single or Spread),3,num,9,123
csvData11618254.csv,Wm Alpha,0,cate,7,L
csvData21300577__1.csv,2B,3,num,3,6
csvData2688573__0.csv,Date,2,cate,20,"May 08, 2011"
csvData23138641__17.csv,Team,6,cate,122,Calgary
csvData28672318__4.csv,GDP,5,num,31,1
csvData2792289__3.csv,G,5,num,10,20
csvData26724876__3.csv,FGM,2,num,43,3.1
csvData28681743__3.csv,FG%,4,num,18,0.376
csvData13434912__7.csv,RBI,3,num,56,3
csvData4823585__2.csv,CS,7,num,1,0
csvData8288967__15.csv,Tm,1,cate,211,TBR
csvData1902536__12.csv,OBP,7,num,131,0.241
csvData29230622__0.csv,G,6,num,107,12
csvData24108736__5.csv,SB,5,num,3,6
csvData7222492__5.csv,FTM,8,num,96,12.0
csvData5586261__3.csv,PA,6,num,18,111
csvData5124506__7.csv,OBP,6,num,23,0.236
csvData29230622__3.csv,G,6,num,47,12
csvData10074535__0.csv,AB,2,num,11,371
csvData29230622__0.csv,YEAR,4,num,50,2012
csvData29230622__0.csv,YEAR,4,num,351,2012
csvData24341501__0.csv,TEAM,2,cate,147,SDN
csvData10887965.csv,IT,2,num,4,42
csvData7222492__5.csv,PF,6,num,33,17.1
csvData3178438__15.csv,TOV,1,num,25,14.3
csvData11105179.csv,JP,5,num,1,5
csvData3178438__15.csv,DRB,0,num,101,22.4
csvData28386553__1.csv,2B,5,num,29,0
csvData23138641__17.csv,Team,6,cate,163,Vancouver
csvData11762781__2.csv,ibb,4,num,3,0
csvData3178438__15.csv,TOV,1,num,64,10.8
csvData18493125__12.csv,SH,4,num,4,0
csvData24341501__0.csv,IP,9,num,30,61.0
csvData29230622__0.csv,TEAM,3,cate,91,PIT
csvData24131822__7.csv,oppRPA+,6,num,43,92
csvData16461238__3.csv,r,5,num,23,0
csvData24131822__7.csv,oppRPA+,6,num,38,93
csvData8804961__2.csv,Team,3,cate,16,STL
csvData27526946__4.csv,CS,4,num,19,58
csvData29230622__3.csv,TEAM,3,cate,63,MIL
csvData10975009.csv,UK,3,num,7,16
csvData29230622__3.csv,G,6,num,108,42
csvData29230622__3.csv,TEAM,3,cate,146,ANA
csvData14512292__0.csv,Team,6,cate,0,LOW
csvData13434912__7.csv,OPS,5,num,25,0.753
csvData27526946__4.csv,HR,6,num,1,1
csvData23003743__0.csv,Player,3,cate,17,D Butera
csvData9103974__6.csv,GS,0,num,40,33
csvData5124506__7.csv,CS,3,num,19,0
csvData24341501__0.csv,oppOPS,0,num,55,0.722
csvData6468042__1.csv,3P%,5,num,33,0.386
csvData24341501__0.csv,oppOPS,0,num,264,0.749
csvData14443150__6.csv,RPG,0,num,25,3.8
csvData27420957__0.csv,Name,8,cate,7,Norris Hopper
csvData28681743__3.csv,FTA,2,num,11,0.4
csvData22678292__1.csv,GS,2,num,20,0
csvData6917053__0.csv,SF,2,num,5,0
csvData10051410.csv,UK,3,num,8,18
csvData20099586__3.csv,Team,4,cate,21,SF
csvData3178438__15.csv,RPG,2,num,57,27.4
csvData1549285__0.csv,Opp,0,cate,6,SAS
csvData23138641__17.csv,Team,6,cate,236,Pittsburgh
csvData24108736__5.csv,OPS,4,num,15,0.631
csvData9925714__1.csv,#,7,num,3,5
csvData29230622__3.csv,YEAR,4,num,209,2012
csvData26724876__3.csv,Team,0,cate,39,MUR
csvData21300577__1.csv,OPS,0,num,37,0.772
csvData29230622__0.csv,TEAM,3,cate,264,OAK
csvData18661263__9.csv,AB,3,num,23,375
csvData11859275__0.csv,a,0,num,6,17
csvData24341501__0.csv,LG,3,cate,231,AL
csvData21947308__0.csv,SH,5,num,13,0
csvData15025720__1.csv,C-G#,0,num,14,1872
csvData21180610__2.csv,FG%,4,num,10,0.366
csvData1902536__12.csv,CS,4,num,64,1
csvData11859275__0.csv,ab,3,num,17,20
csvData1902536__12.csv,RBI,8,num,43,9
csvData15283024__1.csv,HBP,2,num,28,0
csvData23138641__17.csv,Team,6,cate,35,New Jersey
csvData1902536__12.csv,GIDP,5,num,76,3
csvData20075499__7.csv,2B,0,num,18,3
csvData29230622__0.csv,YEAR,4,num,116,2012
csvData15025720__0.csv,HR,7,num,1,0
csvData29230622__0.csv,oppSLG,0,num,200,0.347
csvData9103974__6.csv,NAME,5,cate,84,Roberto Hernandez
csvData24341501__0.csv,SLG,6,num,335,0.411
csvData27008272__5.csv,SPG,8,num,22,0.5
csvData15025720__0.csv,Notes,4,cate,5,2000th career hit
csvData8804961__2.csv,3B,5,num,4,2
csvData6605406__1.csv,GP,1,num,14,21
csvData7222492__5.csv,PPG,5,num,55,71.3
csvData24341501__0.csv,SLG,6,num,341,0.31
csvData29230622__0.csv,YEAR,4,num,287,2012
csvData6468042__0.csv,3P%,5,num,36,0.415
csvData6468042__0.csv,PF,1,num,42,2.1
csvData15025720__2.csv,GDP,6,num,21,0
csvData3178438__15.csv,3PA,4,num,42,17.5
csvData15025720__2.csv,Team,5,cate,11,CHA
csvData15025720__5.csv,Team,3,cate,6,CHA
csvData11165008__3.csv,sa,2,num,24,21
csvData10074535__0.csv,SF,6,num,28,1
csvData26649044__3.csv,Rdp,0,num,24,0
csvData8804961__3.csv,R,4,num,26,8
csvData24341501__0.csv,PPF,4,num,101,98
csvData24341501__0.csv,IP,9,num,268,3.0
csvData29230622__3.csv,TEAM,3,cate,71,CLE
csvData14518660__14.csv,Tm,5,cate,3,BSN
csvData6468042__0.csv,3PM,2,num,36,1.9
csvData3178438__15.csv,FG%,6,num,108,0.447
csvData27008272__5.csv,RPG,4,num,10,5.0
csvData21947308__0.csv,IBB,2,num,8,0
csvData27526946__4.csv,3B,2,num,26,0
csvData28681743__3.csv,FTA,2,num,31,1.2
csvData14690251__2.csv,Team,9,cate,6,BRE
csvData11105179.csv,JP,5,num,7,17
csvData7222492__5.csv,#,4,num,19,277
csvData15025720__2.csv,Team,5,cate,6,CHA
csvData29230622__0.csv,VORP,1,num,95,19.2
csvData23138641__17.csv,Team,6,cate,281,Ottawa
csvData5124506__7.csv,CS,3,num,32,4
csvData15025720__2.csv,AB,2,num,3,6
csvData20075499__7.csv,CS,2,num,93,2
csvData15025720__2.csv,Notes,4,cate,4,4 hits
csvData4823585__2.csv,Player,1,cate,25,R Soriano
csvData6444295__7.csv,DRB,1,num,25,1.8
csvData6468042__0.csv,BLK,4,num,17,0.6
csvData27526946__4.csv,SB,0,num,11,0
csvData3653270__1.csv,Name,6,cate,16,D Clark
csvData3726343__7.csv,Team,9,cate,1,PHL
csvData24341501__0.csv,oppOPS,0,num,228,0.741
csvData24442720__5.csv,GP,4,num,8,29
csvData284731__0.csv,14,6,num,7,48
csvData11859275__3.csv,r,2,num,16,3
csvData16773977__3.csv,PPG,1,num,12,11.6
csvData2688573__0.csv,l,4,num,19,30
csvData11251209.csv,Score,2,cate,5,"L, 35-10"
csvData2688573__2.csv,ibb,8,num,2,0
csvData6468042__2.csv,BLK,4,num,39,0.6
csvData26724876__3.csv,PF,7,num,42,2.1
csvData11573229__2.csv,Acquired,0,cate,15,Amateur Draft
csvData24341501__0.csv,oppOBP,8,num,156,0.309
csvData7222492__5.csv,BPG,2,num,6,3.8
csvData8288967__15.csv,Tm,1,cate,119,BOS
csvData20099586__3.csv,2B,0,num,12,9
csvData24131822__7.csv,oppSLG,2,num,66,0.382
csvData7222492__5.csv,FGA,0,num,60,57.5
csvData15025720__5.csv,RBI,0,num,1,0
csvData29230622__0.csv,G,6,num,36,4
csvData29230622__0.csv,TEAM,3,cate,142,KCA
csvData158232__2.csv,tot,3,num,11,67
csvData10074535__0.csv,OPS,5,num,13,0.0
csvData919002__3.csv,DRtg,6,num,12,109
csvData21947308__2.csv,H,4,num,4,2
csvData8288967__15.csv,Tm,1,cate,161,KCR
csvData23141915__1.csv,Tm,0,cate,29,UTA
csvData28672318__4.csv,AB,6,num,25,6
csvData6468042__0.csv,3PM,2,num,43,1.1
csvData29230622__0.csv,PA,5,num,29,245
csvData3178438__15.csv,3PA,4,num,52,16.6
csvData1902536__12.csv,RBI,8,num,20,15
csvData29230622__0.csv,TEAM,3,cate,342,BOS
csvData29230622__0.csv,VORP,1,num,238,-1.1
csvData29230622__0.csv,TEAM,3,cate,251,NYA
csvData24341501__0.csv,YEAR,1,num,285,2012
csvData24341501__0.csv,YEAR,1,num,27,2012
csvData10279123.csv,Wm Alpha,1,cate,7,L
csvData24341501__0.csv,oppOPS,0,num,74,0.709
csvData16825359__0.csv,Arch-Deck,2,num,16,94
csvData24341501__0.csv,oppOBP,8,num,256,0.31
csvData29230622__0.csv,VORP,1,num,122,-0.7
csvData1902536__12.csv,GIDP,5,num,132,2
csvData3178438__15.csv,RPG,2,num,28,34.2
csvData5124506__7.csv,CS,3,num,21,0
csvData24341501__0.csv,oppOBP,8,num,95,0.3
csvData26817631__5.csv,USG%,7,num,25,5.8
csvData6468042__0.csv,PF,1,num,5,2.1
csvData11573229__2.csv,Acquired,0,cate,9,Amateur Draft
csvData5124506__7.csv,CS,3,num,7,2
csvData29230622__0.csv,TEAM,3,cate,26,CHN
csvData18493125__12.csv,CS,5,num,24,0
csvData24131822__7.csv,oppSLG,2,num,72,0.389
csvData10975009.csv,FR,4,num,5,42
csvData1902536__12.csv,RBI,8,num,90,9
csvData24341501__0.csv,SLG,6,num,54,0.471
csvData24341501__0.csv,LG,3,cate,82,AL
csvData3178438__15.csv,3PA,4,num,18,22.4
csvData9103974__6.csv,PPF,1,num,57,96
csvData24341501__0.csv,PPF,4,num,125,97
csvData23003743__3.csv,Team,2,cate,27,PHI
csvData24341501__0.csv,SLG,6,num,135,0.335
csvData14690251__2.csv,AVG,5,num,5,0.358
csvData6605406__3.csv,FTM,6,num,21,2.0
csvData158232__2.csv,tot,3,num,4,0
csvData23003743__3.csv,2B,7,num,27,0
csvData26649044__3.csv,Rdp,0,num,19,0
csvData24341501__0.csv,IP,9,num,224,217.0
csvData397377__3.csv,Rk,2,num,0,17
csvData9103974__6.csv,oppSLG,3,num,75,0.401
csvData10938189.csv,Date,0,cate,3,Sep 28
csvData11859275__3.csv,3b,0,num,8,0
csvData24108736__5.csv,HR,9,num,25,0
csvData9103974__6.csv,SLG,4,num,63,0.375
csvData9925714__1.csv,BPG,3,num,1,0.8
csvData1211158__2.csv,Opponent,1,cate,3,UNCG
csvData12976003__3.csv,BPG,7,num,23,1.0
csvData26724876__2.csv,3PM,2,num,12,0.6
csvData18784108__2.csv,BB,1,num,12,7
csvData17658548__0.csv,avg,8,num,38,0.227
csvData24131822__7.csv,oppOBP,3,num,59,0.318
csvData28681743__3.csv,Player,0,cate,27,Zeljko Bojovic
csvData21300577__1.csv,3B,2,num,33,13
csvData24442720__5.csv,Team,0,cate,5,All Teams
csvData6917053__0.csv,POS,1,cate,4,3B
csvData29230622__3.csv,oppSLG,0,num,51,0.404
csvData9702682__1.csv,w,2,num,13,4
csvData22709338__0.csv,avg,3,num,8,0.23
csvData5124506__7.csv,SLG,0,num,60,0.388
csvData18493125__12.csv,2B,7,num,13,11
csvData29230622__3.csv,PA,5,num,212,73
csvData24131822__7.csv,oppOBP,3,num,44,0.325
csvData24442720__5.csv,Team,0,cate,6,MAC
csvData5124506__7.csv,SLG,0,num,37,0.0
csvData14690251__3.csv,Player,6,cate,8,J Flores
csvData29230622__0.csv,G,6,num,310,27
csvData8288967__15.csv,Tm,1,cate,197,CLE
csvData7222492__5.csv,FTA,3,num,88,18.0
csvData10354220.csv,Wm US,1,num,8,14
csvData21300577__1.csv,2B,3,num,43,13
csvData22335715__0.csv,gdp,4,num,17,0
csvData24341501__0.csv,YEAR,1,num,306,2012
csvData18784108__2.csv,SO,5,num,13,16
csvData10819469.csv,DE,6,num,5,38
csvData24341501__0.csv,LG,3,cate,334,NL
csvData23003743__3.csv,H,0,num,19,14
csvData3178438__15.csv,SPG,5,num,93,5.7
csvData29230622__3.csv,YEAR,4,num,172,2012
csvData6974424__2.csv,h,3,num,10,10
csvData29230622__0.csv,TEAM,3,cate,293,HOU
csvData27008272__5.csv,FT%,7,num,23,0.71
csvData28386553__1.csv,Player,2,cate,0,S Turner
csvData28672318__4.csv,BB,4,num,11,0
csvData14690251__2.csv,SH,2,num,8,0
csvData10887965.csv,Wm US,1,num,9,16
csvData9103974__6.csv,NAME,5,cate,65,Jason Vargas
csvData14443150__8.csv,BPG,3,num,32,0.5
csvData28672318__5.csv,3B,1,num,15,0
csvData23138641__17.csv,Team,6,cate,91,Montreal
csvData24341501__0.csv,SLG,6,num,173,0.258
csvData18784108__2.csv,Player,9,cate,4,J Guevara
csvData21300577__1.csv,SLG,6,num,42,0.363
csvData24341501__0.csv,SLG,6,num,199,0.375
csvData24341501__0.csv,TEAM,2,cate,28,MIL
csvData11839331__4.csv,FTM,1,num,24,1.5
csvData18786685__0.csv,3PM,6,num,22,0.5
csvData24131822__7.csv,oppOBP,3,num,54,0.32
csvData7222492__5.csv,3PA,1,num,35,18.5
csvData23003743__0.csv,BB,1,num,0,0
csvData11219221.csv,CN (cm),7,num,3,88
csvData28672318__4.csv,AB,6,num,13,5
csvData1902536__12.csv,GIDP,5,num,118,0
csvData18784108__2.csv,SF,6,num,43,1
csvData3178438__15.csv,FG%,6,num,89,0.421
csvData10074535__0.csv,SH,3,num,59,3
csvData18784108__2.csv,GIDP,3,num,6,1
csvData3726343__7.csv,SF,5,num,18,1
csvData3178438__15.csv,ORB,3,num,55,9.2
csvData1902536__12.csv,CS,4,num,63,0
csvData17658548__0.csv,avg,8,num,17,0.269
csvData8804961__3.csv,AVG,2,num,28,0.246
csvData10074535__12.csv,OPS,2,num,15,0.519
csvData3726343__7.csv,R,7,num,26,3
csvData9925714__1.csv,FGM,6,num,12,4.0
csvData8804961__3.csv,SO,8,num,23,2
csvData27008272__5.csv,FGA,3,num,19,7.0
csvData24341501__0.csv,IP,9,num,102,8.7
csvData1068737__2.csv,3PA,1,num,13,1.1
csvData24341501__0.csv,IP,9,num,248,171.0
csvData29230622__3.csv,YEAR,4,num,210,2012
csvData28672318__4.csv,GDP,5,num,23,0
csvData24341501__0.csv,LG,3,cate,133,NL
csvData3726343__7.csv,AB,3,num,9,78
csvData8804961__3.csv,Team,3,cate,26,PIT
csvData29230622__0.csv,oppSLG,0,num,123,0.417
csvData21300577__1.csv,SLG,6,num,27,0.461
csvData3871380__3.csv,hr,3,num,9,2
